CL101,Noctua,NH-D15,air,140mm,10,8990
CL102,Corsair,H100i RGB Platinum SE,liquid,240mm,15,12990
CL103,be quiet!,Dark Rock Pro 4,air,135mm,20,8999
CL104,ARCTIC,Freezer 34 eSports DUO,air,120mm,25,1999
CL105,NZXT,Kraken X63,liquid,280mm,12,3499
CL106,Deepcool,GAMMAXX GT BK,air,120mm,30,4999
CL107,Thermaltake,Water 3.0 360 ARGB,liquid,360mm,8,20499
CL108,Cooler Master,MasterLiquid ML240L V2 RGB,liquid,240mm,18,20499
CL109,Scythe,Ninja 5,air,130mm,15,6299
CL1010,ASUS,ROG Ryujin 360,liquid,360mm,6,15499
